MIDDLE-EAST,2012,2013,2014,2015,2016,2017,AFRICA,2012,2013,2014,2015,2016,2017,Latin America,2012,2013,2014,2015,2016,2017,EUROPE,2012,2013,2014,2015,2016,2017,ASIA-PACIFIC,2012,2013,2014,2015,2016,2017,Year,Price ($/bbl)
BAHRAIN,29,50,45,14,8,17,ALGERIA,288,560,572,609,642,432,ARGENTINA,489,987,1239,1261,817,458,ALBANIA,30,67,70,29,8,16,AUSTRALIA,131,217,245,191,74,110,2012,109.45
EGYPT,447,633,634,502,341,202,ANGOLA,54,134,178,135,75,23,BOLIVIA,58,104,94,57,60,29,AUSTRIA,25,33,33,8,0,1,CHINA,106,216,334,334,328,156,2013,105.87
IRAQ,514,995,949,624,514,378,CAMEROON,5,29,29,22,7,11,BRAZIL,550,753,552,484,233,125,CZECH,9,22,24,24,14,3,INDIA,794,1422,1479,1318,1299,908,2014,96.29
KUWAIT,227,382,458,559,532,436,CHAD,14,45,109,26,0,2,CHILE,20,34,48,32,36,16,DENMARK,7,21,24,32,13,6,INDONESIA,259,458,407,328,211,188,2015,49.49
OMAN,340,601,707,802,792,442,CONGO,15,52,53,43,18,13,COLOMBIA,282,510,518,303,99,167,FRANCE,10,20,36,10,2,9,JAPAN,14,15,7,0,6,11,2016,40.68
PAKISTAN,114,250,256,265,282,184,GABON,38,68,80,48,7,5,ECUADOR,155,314,288,145,50,54,GERMANY,48,68,48,32,45,24,MALAYSIA,98,139,107,95,51,36,2017,49.83
QATAR,54,106,125,92,94,84,KENYA,16,69,142,133,127,77,MEXICO,763,1270,1027,621,306,158,HUNGARY,13,25,24,24,20,9,NEW ZEALAND,38,91,64,17,1,0,,
SAUDI,576,996,1238,1488,1500,954,LIBYA,84,176,124,34,12,8,PERU,56,67,81,32,9,16,ITALY,37,47,59,45,49,28,PAPUA GUINEA,22,44,62,39,21,9,,
UAE,168,334,393,484,579,392,NIGERIA,114,213,174,131,69,66,TRINIDAD TOBAGO,35,40,36,64,55,51,LITHUANIA,7,12,23,24,4,0,PHILIPPINES,2,37,28,37,25,10,,
OTHERS,230,113,52,16,2,10,OTHERS,110,155,147,91,58,31,VENEZUELA,492,944,885,813,694,416,HOLLAND,52,92,112,62,34,13,THAILAND,112,214,203,207,156,98,,
,,,,,,,,,,,,,,Others,2,0,0,12,18,1,NORWAY,120,236,198,204,198,121,VIETNAM,42,38,61,39,35,25,,
,,,,,,,,,,,,,,,,,,,,,POLAND,44,75,65,94,77,78,OTHERS,27,55,52,29,34,27,,
,,,,,,,,,,,,,,,,,,,,,ROMANIA,57,97,149,111,63,47,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,SERBIA,16,57,60,60,40,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,TURKEY,178,388,497,363,351,187,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,UK,131,198,184,170,105,75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,SAKHALIN,46,103,96,83,86,86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,OTHERS,24,59,40,25,43,26,,,,,,,,,
